happiness_rank,year,country,region,happiness_score,gdp_percapita,life_expectancy,family,freedom,generosity,government_corruption
72,2016,Estonia,Central and Eastern Europe,5.517,1.27964,0.68098,1.05163,0.41511,0.08423,0.18519
73,2016,Jamaica,Latin America and Caribbean,5.51,0.89333,0.59469,0.96372,0.43597,0.22245,0.04294
74,2016,Croatia,Central and Eastern Europe,5.488,1.18649,0.70524,0.60809,0.23907,0.18434,0.04002
75,2016,Hong Kong,Eastern Asia,5.458,1.5107,0.95277,0.87021,0.48079,0.40097,0.31647
76,2016,Somalia,Sub-Saharan Africa,5.44,0.0,0.11466,0.33613,0.56778,0.27225,0.3118
77,2016,Kosovo,Central and Eastern Europe,5.401,0.90145,0.54,0.66062,0.14396,0.27992,0.06547
78,2016,Turkey,Middle East and Northern Africa,5.389,1.16492,0.64718,0.87717,0.23889,0.04707,0.12348
79,2016,Indonesia,Southeastern Asia,5.314,0.95104,0.49374,0.87625,0.39237,0.56521,0.00322
80,2016,Jordan,Middle East and Northern Africa,5.303,0.99673,0.60712,0.86216,0.36023,0.14262,0.13297
81,2016,Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.54504,0.76042,0.35327,0.0564,0.17914
82,2016,Philippines,Southeastern Asia,5.279,0.81217,0.47036,0.87877,0.54854,0.21674,0.11757
83,2016,China,Eastern Asia,5.245,1.0278,0.73561,0.79381,0.44012,0.04959,0.02745
84,2016,Bhutan,Southern Asia,5.196,0.8527,0.49759,0.90836,0.46074,0.48546,0.1616
85,2016,Kyrgyzstan,Central and Eastern Europe,5.185,0.56044,0.55449,0.95434,0.40212,0.38432,0.04762
86,2016,Serbia,Central and Eastern Europe,5.177,1.03437,0.6458,0.81329,0.15718,0.20737,0.04339
87,2016,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93383,0.70766,0.64367,0.09511,0.29889,0.0
88,2016,Montenegro,Central and Eastern Europe,5.161,1.07838,0.63533,0.74173,0.15111,0.17191,0.12721
89,2016,Dominican Republic,Latin America and Caribbean,5.155,1.02787,0.57669,0.99496,0.52259,0.21286,0.12372
90,2016,Morocco,Middle East and Northern Africa,5.151,0.84058,0.59471,0.38595,0.25646,0.04053,0.08404
91,2016,Hungary,Central and Eastern Europe,5.145,1.24142,0.67608,0.93164,0.1977,0.099,0.04472
92,2016,Pakistan,Southern Asia,5.132,0.68816,0.40306,0.26135,0.14622,0.31185,0.1388
